folio;depto;area;s09a_01;s09a_01a;s09a_02;s09a_02a;s09a_03;s09a_03a;s09a_04;s09a_04a;s09a_05;s09a_05a;s09a_06;s09a_06a;s09a_07;s09a_07a;s09a_08;s09a_08a;s09a_09;s09a_09a;s09a_10;s09a_11;s09a_11a;s09a_12;s09a_12a;s09a_13;s09a_13a;s09a_14;s09a_14a;s09a_15;s09a_15a;s09a_16;s09a_16a;s09a_17;s09a_17a;upm;estrato;factor
412-00480119988-A-0051;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-00480119988-A;12;124,486884147632
412-00480119988-A-0061;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-00480119988-A;12;124,486884147632
412-00480119988-A-0071;Oruro;Urbana;1. Si;2. No;2. No; ;1. Si;2. No;2. No; ;2. No; ;1. Si;2. No;2. No; ;2. No; ;1. Si;2. No;1. Si;1. Si;1. Si;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-00480119988-A;12;124,486884147632
412-00480119988-A-0091;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-00480119988-A;12;124,486884147632
412-00480119988-A-0101;Oruro;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-00480119988-A;12;124,486884147632
412-00480119988-A-0111;Oruro;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-00480119988-A;12;124,486884147632
412-00480119988-A-0131;Oruro;Urbana;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-00480119988-A;12;124,486884147632
412-00480119988-A-0141;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-00480119988-A;12;124,486884147632
412-00480119988-A-0151;Oruro;Urbana;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-00480119988-A;12;124,486884147632
412-04748017153-A-0061;Oruro;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04748017153-A;11;83,6604419650531
412-04748017153-A-0071;Oruro;Urbana;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04748017153-A;11;83,6604419650531
412-04748017153-A-0081;Oruro;Urbana;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04748017153-A;11;83,6604419650531
412-04748017153-A-0091;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04748017153-A;11;83,6604419650531
412-04748017153-A-0101;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04748017153-A;11;83,6604419650531
412-04748017153-A-0121;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04748017153-A;11;83,6604419650531
412-04748017153-A-0131;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04748017153-A;11;83,6604419650531
412-04754114972-A-0021;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04754114972-A;12;170,428472344973
412-04754114972-A-0041;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04754114972-A;12;170,428472344973
412-04754114972-A-0051;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04754114972-A;12;170,428472344973
412-04754114972-A-0071;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04754114972-A;12;170,428472344973
412-04754114972-A-0091;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04754114972-A;12;170,428472344973
412-04754114972-A-0101;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04754114972-A;12;170,428472344973
412-04754114972-A-0121;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04754114972-A;12;170,428472344973
412-04754114972-A-0141;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04754114972-A;12;170,428472344973
412-04754114972-A-0151;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04754114972-A;12;170,428472344973
412-04754114972-A-0171;Oruro;Urbana;1. Si;1. Si;1. Si;2. No;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04754114972-A;12;170,428472344973
412-04754114972-A-0191;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04754114972-A;12;170,428472344973
412-04754114972-A-0201;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04754114972-A;12;170,428472344973
412-04765445885-A-0021;Oruro;Urbana;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04765445885-A;12;139,804606220485
412-04765445885-A-0051;Oruro;Urbana;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04765445885-A;12;139,804606220485
412-04765445885-A-0071;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04765445885-A;12;139,804606220485
412-04765445885-A-0091;Oruro;Urbana;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04765445885-A;12;139,804606220485
412-04765445885-A-0111;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04765445885-A;12;139,804606220485
412-04765445885-A-0131;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04765445885-A;12;139,804606220485
412-04765445885-A-0151;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04765445885-A;12;139,804606220485
412-04765445885-A-0171;Oruro;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04765445885-A;12;139,804606220485
412-04765445885-A-0191;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04765445885-A;12;139,804606220485
412-04765445885-A-0211;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04765445885-A;12;139,804606220485
412-04765445885-A-0231;Oruro;Urbana;2. No; ;2. No; ;1. Si;2. No;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04765445885-A;12;139,804606220485
412-04765445885-A-0251;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04765445885-A;12;139,804606220485
412-04776773468-A-0021;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04776773468-A;12;189,476360430587
412-04776773468-A-0031;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04776773468-A;12;189,476360430587
412-04776773468-A-0051;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04776773468-A;12;189,476360430587
412-04776773468-A-0061;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04776773468-A;12;189,476360430587
412-04776773468-A-0081;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04776773468-A;12;189,476360430587
412-04776773468-A-0091;Oruro;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04776773468-A;12;189,476360430587
412-04776773468-A-0111;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04776773468-A;12;189,476360430587
412-04776773468-A-0121;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04776773468-A;12;189,476360430587
412-04776773468-A-0141;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04776773468-A;12;189,476360430587
412-04776773468-A-0151;Oruro;Urbana;1. Si;1. Si;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04776773468-A;12;189,476360430587
412-04776773468-A-0171;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04776773468-A;12;189,476360430587
412-04776773468-A-0181;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04776773468-A;12;189,476360430587
412-04797629790-A-0021;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04797629790-A;12;252,15667158313
412-04797629790-A-0051;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04797629790-A;12;252,15667158313
412-04797629790-A-0071;Oruro;Urbana;1. Si;1. Si;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04797629790-A;12;252,15667158313
412-04797629790-A-0101;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04797629790-A;12;252,15667158313
412-04797629790-A-0121;Oruro;Urbana;1. Si;1. Si;2. No; ;1. Si;2. No;1. Si;1. Si;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04797629790-A;12;252,15667158313
412-04797629790-A-0151;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04797629790-A;12;252,15667158313
412-04797629790-A-0171;Oruro;Urbana;2. No; ;2. No; ;3. NO SABE/NO RESPONDE; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04797629790-A;12;252,15667158313
412-04797629790-A-0201;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04797629790-A;12;252,15667158313
412-04797629790-A-0231;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04797629790-A;12;252,15667158313
412-04797629790-A-0251;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;412-04797629790-A;12;252,15667158313
412-04797629790-A-0281;Oruro;Urbana;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04797629790-A;12;252,15667158313
412-04797629790-A-0301;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No;2. No; ;1. Si;2. No;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;412-04797629790-A;12;252,15667158313
413-00476152148-A-0011;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476152148-A;13;221,159975092075
413-00476152148-A-0031;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476152148-A;13;221,159975092075
413-00476152148-A-0041;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476152148-A;13;221,159975092075
413-00476152148-A-0061;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476152148-A;13;221,159975092075
413-00476152148-A-0071;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476152148-A;13;221,159975092075
413-00476152148-A-0081;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476152148-A;13;221,159975092075
413-00476152148-A-0101;Oruro;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476152148-A;13;221,159975092075
413-00476152148-A-0111;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476152148-A;13;221,159975092075
413-00476152148-A-0131;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476152148-A;13;221,159975092075
413-00476152148-A-0141;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476152148-A;13;221,159975092075
413-00476152148-A-0151;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476152148-A;13;221,159975092075
413-00476152148-A-0171;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476152148-A;13;221,159975092075
413-00476477261-A-0031;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476477261-A;13;209,776741079983
413-00476477261-A-0071;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476477261-A;13;209,776741079983
413-00476477261-A-0111;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476477261-A;13;209,776741079983
413-00476477261-A-0141;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476477261-A;13;209,776741079983
413-00476477261-A-0181;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476477261-A;13;209,776741079983
413-00476477261-A-0211;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476477261-A;13;209,776741079983
413-00476477261-A-0251;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476477261-A;13;209,776741079983
413-00476477261-A-0291;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476477261-A;13;209,776741079983
413-00476477261-A-0321;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476477261-A;13;209,776741079983
413-00476477261-A-0361;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476477261-A;13;209,776741079983
413-00476477261-A-0391;Oruro;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476477261-A;13;209,776741079983
413-00476477261-A-0431;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476477261-A;13;209,776741079983
413-00476679080-A-0011;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476679080-A;13;168,437628088701
413-00476679080-A-0051;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476679080-A;13;168,437628088701
413-00476679080-A-0081;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476679080-A;13;168,437628088701
413-00476679080-A-0121;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476679080-A;13;168,437628088701
413-00476679080-A-0151;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476679080-A;13;168,437628088701
413-00476679080-A-0191;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476679080-A;13;168,437628088701
413-00476679080-A-0221;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476679080-A;13;168,437628088701
413-00476679080-A-0251;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476679080-A;13;168,437628088701
413-00476679080-A-0291;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476679080-A;13;168,437628088701
413-00476679080-A-0321;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;413-00476679080-A;13;168,437628088701
413-00476679080-A-0361;Oruro;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413-00476679080-A;13;168,437628088701
