folio;depto;area;s10b_10_01;s10b_10_02;s10b_10_03;s10b_10_04;s10b_10_05;s10b_10_06;s10b_10_07;s10b_10_08;s10b_10_09;s10b_10_10;s10b_10_11;s10b_10_12;s10b_10_13;s10b_10_14;s10b_10_15;s10b_10_16;s10b_10_17;s10b_10_18;s10b_10_19;s10b_10_20;s10b_10_21;s10b_10_22;s10b_10_23;s10b_10_24;s10b_10_25;s10b_10_26;s10b_10_27;s10b_10_28;s10b_10_29;s10b_10_30;s10b_10_31;s10b_10_32;s10b_11_01;s10b_11_02;s10b_11_03;s10b_11_04;s10b_11_05;s10b_11_06;s10b_11_07;s10b_11_08;s10b_12_01;s10b_12_02;s10b_12_03;s10b_13_01;s10b_13_02;s10b_13_03;s10b_13_04;s10b_13_05;s10b_13_06;s10b_13_07;s10b_13_08;s10b_13_09;s10b_13_10;s10b_13_11;s10b_13_12;s10b_13_13;s10b_13_14;upm;estrato;factor
713-05209287193-A-0341;Santa Cruz;Urbana;80;0;0;0;150;0;50;20;0;0;0;90;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;200;300;100;0;0;200;400;0;0;0;0;0;0;300;0;0;0;0;0;0;130;900;0;100;1500;0;0;300;0;713-05209287193-A;13;438,379244454334
713-05210855715-A-0011;Santa Cruz;Urbana;15;120;0;30;300;20;25;0;0;0;0;0;0;210;360;150;100;30;0;600;13;0;0;0;0;0;0;0;0;30;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05210855715-A;13;334,956856995458
713-05210855715-A-0041;Santa Cruz;Urbana;200;400;0;0;0;0;200;13;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;1900;0;0;0;0;0;0;140;713-05210855715-A;13;334,956856995458
713-05210855715-A-0071;Santa Cruz;Urbana;100;100;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;20;0;0;0;250;60;0;0;0;0;0;0;0;0;0;0;0;180;0;0;0;0;0;0;0;0;0;0;713-05210855715-A;13;334,956856995458
713-05210855715-A-0111;Santa Cruz;Urbana;15;360;0;0;0;0;15;0;0;0;0;0;0;0;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05210855715-A;13;334,956856995458
713-05210855715-A-0141;Santa Cruz;Urbana;50;150;0;10;180;0;75;15;0;0;0;120;250;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;150;150;70;0;250;200;150;0;0;0;0;0;0;0;0;150;0;180;0;1200;2400;185;0;0;0;800;540;0;713-05210855715-A;13;334,956856995458
713-05210855715-A-0171;Santa Cruz;Urbana;25;200;0;0;0;0;35;0;0;0;0;148;35;0;300;0;80;150;0;0;0;0;0;0;0;0;0;0;0;50;100;50;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;0;713-05210855715-A;13;334,956856995458
713-05210855715-A-0201;Santa Cruz;Urbana;180;480;0;0;480;0;150;24;45;0;0;160;300;0;0;0;300;250;0;0;0;0;0;0;0;0;0;0;0;250;150;70;0;0;300;300;0;0;0;0;40;0;300;0;0;0;0;0;1300;500;400;0;1920;0;800;0;0;713-05210855715-A;13;334,956856995458
713-05210855715-A-0231;Santa Cruz;Urbana;35;210;0;0;0;15;38;0;20;0;0;0;0;0;180;0;0;50;0;0;25;0;0;0;0;0;0;0;0;100;100;50;0;200;350;200;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;713-05210855715-A;13;334,956856995458
713-05210855715-A-0261;Santa Cruz;Urbana;52;120;0;0;0;0;35;15;35;0;800;100;100;0;300;0;200;80;50;0;100;0;0;0;0;0;0;0;0;250;150;150;0;0;300;200;0;0;0;45;350;0;0;0;0;0;0;0;0;300;0;0;0;0;1700;0;0;713-05210855715-A;13;334,956856995458
713-05210855715-A-0291;Santa Cruz;Urbana;65;150;0;0;0;0;38;27;30;0;200;180;300;0;0;0;100;50;20;0;70;0;0;0;0;0;0;0;0;400;100;76;0;300;500;300;0;0;30;0;40;0;0;0;0;0;400;0;100;1000;0;0;0;0;0;0;0;713-05210855715-A;13;334,956856995458
713-05210855715-A-0321;Santa Cruz;Urbana;39;50;0;0;0;0;18;15;0;0;50;20;50;0;0;0;0;50;35;25;150;0;0;0;0;0;0;0;0;250;100;76;0;500;450;350;0;0;15;0;0;0;0;0;0;0;800;0;600;0;0;0;500;0;0;0;0;713-05210855715-A;13;334,956856995458
713-05210855715-A-0351;Santa Cruz;Urbana;53;60;0;0;0;0;23;0;20;0;0;100;120;60;80;0;50;30;0;0;80;0;0;0;0;0;0;0;250;300;100;76;0;0;200;500;250;0;35;0;40;100;0;0;0;0;500;0;0;100;0;0;0;0;0;0;0;713-05210855715-A;13;334,956856995458
713-05212286361-A-0031;Santa Cruz;Urbana;80;60;0;0;350;0;100;15;40;0;0;0;0;0;0;0;0;80;0;0;40;0;0;0;0;0;0;0;300;100;120;120;0;0;0;400;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;500;0;0;713-05212286361-A;13;535,796854333076
