"","Ent,","Entidad","Fecha de Datos","Ppto, Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"114",1285,"Gobierno Autónomo Municipal de Alto Beni",2021-03-31,9165002,9165002,0,0,0,0,0
"115",1286,"Gobierno Autónomo Municipal de Huatajata",2021-03-31,3647637,4006623.16,745198.84,745198.84,745198.84,0,0
"116",1287,"Gobierno Autónomo Municipal de Chua Cocani",2021-03-31,3862918,4321658,247747.27,247747.27,234967.27,0,12780
"117",1301,"Gobierno Autónomo Municipal de Cochabamba",2021-03-31,1360108224,1360108224,161874205.33,161789913.65,140971869.76,84291.68,20818043.89
"118",1302,"Gobierno Autónomo Municipal de Quillacollo",2021-03-31,271152799,273416819.92,20451144.85,20451144.85,20286235.31,0,164909.54
"119",1303,"Gobierno Autónomo Municipal de Sipe Sipe",2021-03-31,41187452,48844756.77,5243285.99,5243285.99,5241342.99,0,1943
"120",1304,"Gobierno Autónomo Municipal de Tiquipaya",2021-03-31,71149820,84733193.85,21103581.02,20997796.79,19932858.06,105784.23,1064938.73
"121",1305,"Gobierno Autónomo Municipal de Vinto",2021-03-31,60707218,72314895.34,8466945.36,8466945.36,8466945.36,0,0
"122",1306,"Gobierno Autónomo Municipal de Colcapirhua",2021-03-31,74377920,85432400,9234600.89,9234600.89,9234600.89,0,0
"123",1307,"Gobierno Autónomo Municipal de Aiquile",2021-03-31,28332036,28362681,2084972.47,2084972.47,2084972.47,0,0
"124",1308,"Gobierno Autónomo Municipal de Pasorapa",2021-03-31,7820434,9318052.32,1857003.83,1857003.83,1857003.83,0,0
"125",1309,"Gobierno Autónomo Municipal de Omereque",2021-03-31,5079040,5946507.9,696454.84,696454.84,696454.84,0,0
"126",1310,"Gobierno Autónomo Municipal de Independencia",2021-03-31,21240702,31274233.4,9406594.28,9406594.28,9406594.28,0,0
"127",1311,"Gobierno Autónomo Municipal de Morochata",2021-03-31,10435004,15348290.73,2111091.5,2111091.5,2082488.5,0,28603
"128",1312,"Gobierno Autónomo Municipal de Sacaba",2021-03-31,245306153,286590016.96,23014485.32,23014485.32,23014485.32,0,0
"129",1313,"Gobierno Autónomo Municipal de Colomi",2021-03-31,16951619,18570155.42,2494724.4,2494724.4,2494724.4,0,0
"130",1314,"Gobierno Autónomo Municipal de Villa Tunari",2021-03-31,89430310,98456158.24,19604841.94,19604841.94,19604841.94,0,0
"131",1315,"Gobierno Autónomo Municipal de Punata",2021-03-31,50347630,52492716.92,4519323.16,4519323.16,4291952.69,0,227370.47
"132",1316,"Gobierno Autónomo Municipal de Villa Rivero",2021-03-31,8141272,9618551.63,2195617.26,2195617.26,2195617.26,0,0
"133",1317,"Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza)",2021-03-31,15164769,17684656.17,3409044.6,3409044.6,3404044.6,0,5000
"134",1318,"Gobierno Autónomo Municipal de Tacachi",2021-03-31,1125090,1735016.69,721378.01,721378.01,721378.01,0,0
"135",1319,"Gobierno Autónomo Municipal Villa Gualberto Villarroel",2021-03-31,2418487,3895223.08,1129302.16,1129302.16,1129302.16,0,0
"136",1320,"Gobierno Autónomo Municipal de Tarata",2021-03-31,10636281,13362478.36,1135641.51,1135641.51,1135641.51,0,0
"137",1321,"Gobierno Autónomo Municipal de Anzaldo",2021-03-31,7369577,7520513,1041161.53,1041161.53,1041161.53,0,0
"138",1322,"Gobierno Autónomo Municipal de Arbieto",2021-03-31,15418726,17768022.08,2734170.19,2734170.19,2731754.42,0,2415.77
"139",1323,"Gobierno Autónomo Municipal de Sacabamba",2021-03-31,3431894,3431894,110283.53,110283.53,110283.53,0,0
"140",1324,"Gobierno Autónomo Municipal de Cliza",2021-03-31,25026054,37825993.52,6489970.18,6489970.18,6489970.18,0,0
"141",1325,"Gobierno Autónomo Municipal de Toco",2021-03-31,6694925,7041023.36,1218137.4,1218137.4,1203139.4,0,14998
"142",1326,"Gobierno Autónomo Municipal de Tolata",2021-03-31,5770538,7690911,994138.85,994138.85,976434,0,17704.85
"143",1327,"Gobierno Autónomo Municipal de Capinota",2021-03-31,24350537,25525674.22,4783440.32,4783440.32,4782788.12,0,652.2
"144",1328,"Gobierno Autónomo Municipal de Santivañez",2021-03-31,9805153,14049331.38,2449043.83,2449043.83,2055710.32,0,393333.51
"145",1329,"Gobierno Autónomo Municipal de Sicaya",2021-03-31,3541581,4337626.37,1203689.92,1203689.92,1203689.92,0,0
