"","Ent.","Entidad","Fecha de Datos","Ppto. Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"287",1740,"Gobierno Autónomo Municipal de San Matías",2019-12-31,16569552,22311876.28,17478377.75,17478377.75,17478377.75,0,0
"288",1741,"Gobierno Autónomo Municipal de Comarapa",2019-12-31,27979587,45165963.51,27033732.04,27033732.04,26559153.52,0,474578.52
"289",1742,"Gobierno Autónomo Municipal de Saipina",2019-12-31,9437194,19506926.69,15456337.92,15456337.92,15455154.92,0,1183
"290",1743,"Gobierno Autónomo Municipal de Puerto Suárez",2019-12-31,24611325,40953548.07,32897780.66,32897780.66,32897704.66,0,76
"291",1744,"Gobierno Autónomo Municipal de Puerto Quijarro",2019-12-31,25563690,29184503,27195966.61,27195966.61,27195966.61,0,0
"292",1745,"Gobierno Autónomo Municipal de Ascención de Guarayos",2019-12-31,30161301,54841434.25,41263550.91,41263550.91,40768413.7,0,495137.21
"293",1746,"Gobierno Autónomo Municipal de Urubicha",2019-12-31,7257454,8884466.72,6569052.69,6569052.69,6569052.69,0,0
"294",1747,"Gobierno Autónomo Municipal de El Puente",2019-12-31,16026706,42046220.83,29931983.79,29931983.79,29931983.79,0,0
"295",1748,"Gobierno Autónomo Municipal de Okinawa Uno",2019-12-31,16882713,33473461.19,22636157.95,22636157.95,22636157.95,0,0
"296",1749,"Gobierno Autónomo Municipal de San Antonio de Lomerio",2019-12-31,6538025,10757143.9,8997126.78,8997126.78,8972126.78,0,25000
"297",1750,"Gobierno Autónomo Municipal de San Ramón",2019-12-31,8997025,19981764.74,14595903.33,14595843.33,13510882.33,60,1084961
"298",1751,"Gobierno Autónomo Municipal de El Carmen Rivero Tórrez",2019-12-31,8725947,18519180.74,10991844.2,10991844.2,10991370.2,0,474
"299",1752,"Gobierno Autónomo Municipal de San Juan",2019-12-31,15239540,28804452.86,21729260,21729260,21492399.04,0,236860.96
"300",1753,"Gobierno Autónomo Municipal de Fernández Alonso",2019-12-31,19885687,36348641.25,31076017.62,31076017.62,31067868.65,0,8148.97
"301",1754,"Gobierno Autónomo Municipal de San Pedro",2019-12-31,21764869,33194496.63,26002699.45,26002699.45,26002699.45,0,0
"302",1755,"Gobierno Autónomo Municipal de Cuatro Cañadas",2019-12-31,35558240,52304185.56,40265527.01,40265527.01,40265527.01,0,0
"303",1756,"Gobierno Autónomo Municipal de Colpa Bélgica",2019-12-31,13948201,26731658.75,17662412.85,17662412.85,17662412.85,0,0
"304",1801,"Gobierno Autónomo Municipal de Trinidad",2019-12-31,235231948,264019562.4,222300788.46,222300788.46,207107966.67,0,15192821.79
"305",1802,"Gobierno Autónomo Municipal de San Javier",2019-12-31,9359841,11784613.11,9119530.85,9119530.85,8803054.6,0,316476.25
"306",1803,"Gobierno Autónomo Municipal de Riberalta",2019-12-31,191023787,234209093.36,203281819.71,203281819.71,203281819.71,0,0
"307",1805,"Gobierno Autónomo Municipal de Puerto Guayaramerín",2019-12-31,70716020,90006498.36,78686500.63,78686500.63,78686386.63,0,114
"308",1806,"Gobierno Autónomo Municipal de Reyes",2019-12-31,22298064,29892863.06,22292485.59,22292485.59,22292485.59,0,0
"309",1807,"Gobierno Autónomo Municipal de Puerto Rurrenabaque",2019-12-31,36415582,51533385.92,36402007.15,36402007.15,36347007.15,0,55000
"310",1808,"Gobierno Autónomo Municipal de San Borja",2019-12-31,69726584,78459538.07,63071201.44,63071201.44,61453145.92,0,1618055.52
"311",1809,"Gobierno Autónomo Municipal de Santa Rosa",2019-12-31,16950854,28371519.96,18715466.38,18715466.38,18683466.38,0,32000
"312",1810,"Gobierno Autónomo Municipal de Santa Ana",2019-12-31,47130232,52268931,41813907.91,41813907.91,41497416.49,0,316491.42
"313",1811,"Gobierno Autónomo Municipal de San Ignacio",2019-12-31,33859060,51704353.64,38815096.33,38815096.33,38071227.31,0,743869.02
"314",1812,"Gobierno Autónomo Municipal de Loreto",2019-12-31,7617968,13095271.7,8578862.86,8578862.86,8573715.76,0,5147.1
"315",1813,"Gobierno Autónomo Municipal de San Andrés",2019-12-31,20853347,28872360.32,20114536.19,20114535.39,20114535.39,0.8,0
"316",1814,"Gobierno Autónomo Municipal de San Joaquín",2019-12-31,12509455,20264710.87,13669792.98,13669792.98,13598720.04,0,71072.94
"317",1815,"Gobierno Autónomo Municipal de San Ramón",2019-12-31,10883337,16078011.78,9698937.61,9698937.61,9615593.77,0,83343.84
"318",1816,"Gobierno Autónomo Municipal de Puerto Síles",2019-12-31,2963492,6294095.8,2250022.7,2250022.7,2025020.45,0,225002.25
"319",1817,"Gobierno Autónomo Municipal de Magdalena",2019-12-31,17872241,26446842.51,18365887.18,18365887.18,16429582.34,0,1936304.84
"320",1818,"Gobierno Autónomo Municipal de Baures",2019-12-31,11051420,17530764.39,13214375.34,13214375.34,12738442.32,0,475933.02
"321",1819,"Gobierno Autónomo Municipal de Huacaraje",2019-12-31,6455915,15471150.41,10255207.04,10255207.04,10242566.35,0,12640.69
"322",1820,"Gobierno Autónomo Municipal de Exaltación",2019-12-31,11415408,17684005.77,8620818.93,8620818.93,8372304.34,0,248514.59
"323",1901,"Gobierno Autónomo Municipal de Cobija",2019-12-31,223738607,354494649,306901869.2,306901869.2,294915694.53,0,11986174.67
"324",1902,"Gobierno Autónomo Municipal de Porvenir",2019-12-31,28850243,46800392.84,41542388.71,41542388.71,40681008.3,0,861380.41
"325",1903,"Gobierno Autónomo Municipal de Bolpebra",2019-12-31,7553556,14258883.49,9345338.97,9334037.07,9240521.19,11301.9,93515.88
"326",1904,"Gobierno Autónomo Municipal de Bella Flor",2019-12-31,13713306,20295775.27,13047551.23,13047551.23,12931398.62,0,116152.61
"327",1905,"Gobierno Autónomo Municipal de Puerto Rico",2019-12-31,21636387,37475475.1,29936779.29,29936779.29,29907499.29,0,29280
"328",1906,"Gobierno Autónomo Municipal de San Pedro",2019-12-31,10767001,18757458.46,13333847.68,13333847.68,13303429.19,0,30418.49
"329",1907,"Gobierno Autónomo Municipal de Filadelfia",2019-12-31,19741299,30607596.35,24966943.29,24966943.29,24966943.29,0,0
"330",1908,"Gobierno Autónomo Municipal de Puerto Gonzalo Moreno",2019-12-31,28973658,40192383.35,32699328.35,32699328.35,32699328.35,0,0
"331",1909,"Gobierno Autónomo Municipal de San Lorenzo",2019-12-31,27164951,39246179.25,32147693.7,32147693.7,32147693.7,0,0
"332",1910,"Gobierno Autónomo Municipal de Sena",2019-12-31,30008380,41404253.95,29665704.37,29665704.37,29052330.91,0,613373.46
"333",1911,"Gobierno Autónomo Municipal de Santa Rosa del Abuná",2019-12-31,8474505,14257545.23,10989397.09,10989397.09,10641290.12,0,348106.97
"334",1912,"Gobierno Autónomo Municipal de Ingavi (Humaita)",2019-12-31,5752729,11837743.61,8823077.25,8823077.25,8823077.25,0,0
"335",1913,"Gobierno Autónomo Municipal de Nueva Esperanza",2019-12-31,7498465,13557500.73,8965437.92,8965437.92,8903898.33,0,61539.59
"336",1914,"Gobierno Autónomo Municipal de Villa Nueva (Loma Alta)",2019-12-31,9836981,17481518.98,12895361.65,12895361.65,12895361.65,0,0
"337",1915,"Gobierno Autónomo Municipal de Santos Mercado",2019-12-31,7615288,10033383.44,8934982.37,8934982.37,8845790.12,0,89192.25
